Page,Section,Field,Single,EN,ZH,ZH-TW
Contact,Contact form,errorBody,-,Something went wrong. Please try again.,出现错误，请重试。,
Contact,Page implementation,Current visible structure,-,"The report should call out that the local contact page is currently email-only, even though form strings exist in locale files.",-,
About,CSV About rewrite,brandCore,-,AI Business Co-Creation.,AI 商业共创,
About,CSV About rewrite,brandIntent,-,Founded to Break the Deadlock.,为打破僵局而生,
About,CSV About rewrite,ourRole,-,AI Enabler of Enterprise Community,企业共同体的 AI 赋能者,
About,CSV About rewrite,ourVision,-,"Empowered by AI, Unlimited Global Possibilities",以 AI 打开全球无限可能,
About,CSV About rewrite,values,-,What drives us,什么驱动着我们,
Success Stories,Case study detail,Metrics labels,-,Customer Satisfaction / Content Efficiency / Operational Efficiency,客户满意度 / 内容效率 / 运营效率,
Success Stories,Case study detail,Challenge body,Source: components/success-stories/CaseStudyDetailPage.tsx → CHALLENGE_BODY (shared template on all detail pages),Not found,-,
Success Stories,Case study detail,Solution body,Source: components/success-stories/CaseStudyDetailPage.tsx → SOLUTION_BODY (shared template on all detail pages),Not found,-,
Success Stories,Case study detail,Results cards,Source: components/success-stories/CaseStudyDetailPage.tsx → RESULTS (shared template on all detail pages),Key Results card titles and bodies,-,
Success Stories,Case Study 7,All fields,No local Case Study 7 object is present in `lib/case-studies.ts`.,Macau AI Education case study,-,
Products,Product detail pages,Page structure,BasicRouter EN FAQ count: See lib/products.ts with 3 FAQs in EN product data.,FAQs / Who it's for / CTA blocks beyond CSV bullets,-,
Products,Multi-Cloud Computing Platform,Listing + detail,"Available product ids include: token, employees, content, education",Full product page if separate from solutions card,-,
Token selling page,BasicRouter marketing page,Long-form content,-,One API. Every leading AI model. Zero vendor lock-in.,一个 API，连接全球顶尖 AI 模型，彻底摆脱厂商绑定。,
Locale,zh-tw,Entire site,Local dev server responds on `/zh-tw`.,Traditional Chinese locale and routing,-,
Locale,zh-tw,Local route availability,-,The audit should distinguish between deployed 404 behavior and current local route availability.,-,
Implementation,Hero casing,titlePart1,-,Ai vs AI in Chinese hero,AI 赋能,
Implementation,zh.json script mix,about.values.title,-,Traditional chars in Simplified file,什么驱动着我们,
Implementation,Team title,Richard Liu job title,-,AI Large Model Specialist,首席技术顾问,
Implementation,zh.json script mix,about.values.title,-,Simplified Chinese file should use Simplified script for the values title.,什么驱动着我们,
